text,sentiment
"Kursus ini sangat membantu dan informatif. Materi disajikan dengan baik.",1
"Materi kurang jelas dan sulit dipahami. Saya kecewa dengan kursus ini.",0
"Instruktur sangat berpengetahuan dan responsif terhadap pertanyaan peserta.",1
"Saya merasa rugi telah mengikuti kursus ini. Tidak sesuai ekspektasi saya.",0
"Kursus ini memberikan wawasan yang mendalam tentang topik yang dibahas.",1
"Materi kurang terstruktur dan sulit diikuti. Tidak merekomendasikan kursus ini.",0
"Instruktur memberikan penjelasan yang sangat baik. Saya puas dengan kursus ini.",1
"Sangat mengecewakan. Kursus ini tidak memberikan nilai tambah yang signifikan.",0
"Kursus ini sangat praktis dan relevan. Saya merekomendasikannya kepada teman-teman saya.",1
"Sulit untuk tetap fokus. Penyajian materi kurang menarik.",0
"Kursus ini memberikan pandangan yang mendalam dan aplikatif.",1
"Sulit memahami materi. Instruktur tidak memberikan penjelasan yang memadai.",0
"Terima kasih kepada instruktur yang ramah dan responsif.",1
"Sayangnya, kursus ini tidak memenuhi harapan saya. Materi terlalu dasar.",0
"Informasi yang diberikan sangat berguna dan relevan.",1
"Saya kesulitan mengikuti kursus ini. Materi terlalu rumit.",0
"Instruktur memberikan contoh yang nyata dan studi kasus yang berguna.",1
"Tidak puas dengan kursus ini. Materi tidak terstruktur dengan baik.",0
"Metode pengajaran sangat efektif dan mudah dipahami.",1
"Sangat kecewa dengan kualitas materi kursus ini.",0
"Kursus ini membantu meningkatkan pemahaman saya tentang topik tersebut.",1
"Materi kurang mendalam. Saya harap bisa lebih mendalam lagi.",0
"Instruktur sangat berpengetahuan dan menghibur.",1
"Saya merasa terbuang sia-sia. Kursus ini tidak sesuai dengan ekspektasi saya.",0
"Rekomendasi tinggi untuk kursus ini. Sangat bermanfaat.",1
"Materi kursus ini sangat membosankan dan monoton.",0
"Instruktur memberikan solusi praktis untuk permasalahan umum.",1
"Sangat mengecewakan. Kursus ini tidak memberikan materi yang bermanfaat.",0
"Kursus ini memberikan perspektif baru dan ide-ide segar.",1
"Saya merasa terpenuhi setelah menyelesaikan kursus ini.",1
"Kursus ini memberikan dasar yang kokoh untuk pemahaman lebih lanjut.",1
"Materi kurang terorganisir dan sulit diikuti.",0
"Instruktur tidak responsif terhadap pertanyaan peserta.",0
"Kursus ini memberikan wawasan yang sangat baik tentang topik tersebut.",1
"Sangat sulit untuk tetap fokus pada materi kursus ini.",0
"Materi kurang menarik. Tidak sesuai dengan minat saya.",0
"Saya senang menemukan kursus ini. Materi sangat bermanfaat.",1
"Instruktur memberikan penjelasan yang singkat dan jelas.",1
"Kursus ini membuat saya lebih mengerti topik tersebut.",1
"Materi kurang terstruktur dengan baik. Sulit diikuti.",0
"Informasi yang diberikan terlalu umum. Tidak ada hal baru.",0
"Saya puas dengan cara penyampaian materi. Instruktur bagus.",1
"Kursus ini membuat saya merasa tertantang. Suka dengan itu.",1
"Kualitas kursus tidak sebanding dengan harganya.",0
"Materi terlalu teknis. Sulit dimengerti bagi pemula.",0
"Instruktur memberikan pemahaman yang baik tentang konsep-konsep sulit.",1
"Kursus ini memberikan panduan langkah demi langkah yang berguna.",1
"Saya merasa bosan sepanjang kursus. Tidak menarik.",0
"Instruktur tidak kompeten. Sulit untuk mengikuti penjelasannya.",0
"Rekomendasi tinggi untuk kursus ini. Sangat informatif.",1
"Materi kurang aplikatif. Sulit diterapkan dalam kehidupan nyata.",0
"Instruktur memberikan ilustrasi yang mudah dipahami.",1
"Kursus ini memberikan pemahaman yang lebih dalam dari yang saya harapkan.",1
"Saya kecewa karena tidak ada dukungan tambahan.",0
"Materi terlalu dasar. Tidak ada yang baru untuk saya.",0
"Instruktur memberikan tips yang berguna untuk pemecahan masalah.",1
"Kursus ini memberikan pemahaman yang cepat dan efisien.",1
"Saya sangat tidak puas dengan kursus ini. Sia-sia.",0
"Materi kursus sangat relevan dengan kebutuhan pekerjaan saya.",1
